,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
95,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,Juvenile Fiction,"Georgia Nicolson has started dating the Sex God (aka Robbie). So life should be perfect . . . except in Georgia's life, nothing is ever perfect. Her cat, Angus (the size of a small Labrador), is terrorizing the neighborhood. Her sister, Libby (who is slightly mad), hides her pooey knickers at the bottom of Georgia's bed. Then the Sex God breaks it off because she's too young. It's time for a plan. It's time for a Red Herring. It's time for Georgia to become a ""heartless boy magnet!"""
96,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,Fiction,"Financial journalist Rebecca Bloomwood seeks solace from the boredom and pressures in life with her shopping, a solution that brings her close to financial disaster, until she encounters a story that will change her life."
97,0451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books,Fiction,"After her fiance leaves her at the altar, radio reporter Minty Malone cuts loose and begins a life-changing adventure instead."
98,0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics,Fiction,"A timeless coming-of-age story follows the adventures of the self-assured and accomplished Emma, a twenty-one-year-old girl of privilege who believes she is immune to romance and has several chaotic and often humorous experiences. Reissue."
99,0451526341,Animal Farm,George Orwell,2004,Signet,Fiction,A satire on totalitarianism in which farm animals overthrow their human owner and set up their own government
100,0553280589,Eva Luna,Isabel Allende,1989,Bantam Books,Fiction,"A servant woman relates the tale of her life and of the landowners, emigres, urchins, guerrilla leaders, entertainers, eccentrics, and refugees who instruct and transform her"
101,0684833395,Catch 22,Joseph Heller,1996,Simon & Schuster,Fiction,"Catch-22 is like no other novel. It is one of the funniest books ever written, a keystone work in American literature, and even added a new term to the dictionary. At the heart of Catch-22 resides the incomparable, malingering bombardier, Yossarian, a hero endlessly inventive in his schemes to save his skin from the horrible chances of war. His efforts are perfectly understandable because as he furiously scrambles, thousands of people he hasn't even met are trying to kill him. His problem is Colonel Cathcart, who keeps raising the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempts to excuse himself from the perilous missions that he is committed to flying, he is trapped by the Great Loyalty Oath Crusade, the hilariously sinister bureaucratic rule from which the book takes its title: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes the necessary formal request to be relieved of such missions, the very act of making the request proves that he is sane and therefore ineligible to be relieved. Catch-22 is a microcosm of the twentieth-century world as it might look to some one dangerously sane -- a masterpiece of our time."
102,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics,Comics &amp; Graphic Novels,"Features the Victorian era adventures of the League of Extraordinary Gentlemen, comprised of Captain Nemo, Allan Quatermain, the Invisible Man, Wilhelmina ""Mina"" Murray, Detective Thomas Sawyer, and Dr. Jekyll and Mr. Hyde."
103,0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA,Fiction,"Half Apache and orphaned, Edgar's trials begin on an Arizona reservation at the age of seven when he is run over by the mailman's jeep, after which he is taken from the hospital to a school for delinquents to a Mormon foster family, and eventually to an unexpected home on a quest for the mailman. Reader's Guide available. Reprint. 75,000 first printing."
104,0440235502,October Sky: A Memoir,Homer Hickam,1999,Dell,Biography &amp; Autobiography,"The author traces the boyhood enthusiasm for rockets that eventually led to a career at NASA, describing how he built model rockets in the family garage in West Virginia, inspired by the launch of the Soviet satellite Sputnik. Originally published as Rocket Boys. Reissue."
105,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,Fiction,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community."
106,0553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books,Fiction,"In the aftermath of a war that has devastated the nation, a traveling storyteller borrows the jacket of a long-dead postal worker and is transformed unwittingly into a symbol of hope for America's future."
107,0312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press,Fiction,"When a Harvard paleontologist disappears in the mountains of northern Asia, Matt Mattison and Susan Arnot--former lovers who are now academic rivals--set out to find their mentor and a species of humans who have existed for over forty thousand years"
108,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications,Fiction,"Few creatures of horror have seized readers' imaginations and held them for so long as the anguished monster of Mary Shelley's Frankenstein. The story of Victor Frankenstein's terrible creation and the havoc it caused has enthralled generations of readers and inspired countless writers of horror and suspense. Considering the novel's enduring success, it is remarkable that it began merely as a whim of Lord Byron's. ""We will each write a story,"" Byron announced to his next-door neighbors, Mary Wollstonecraft Godwin and her lover Percy Bysshe Shelley. The friends were summering on the shores of Lake Geneva in Switzerland in 1816, Shelley still unknown as a poet and Byron writing the third canto of Childe Harold. When continued rains kept them confined indoors, all agreed to Byron's proposal. The illustrious poets failed to complete their ghost stories, but Mary Shelley rose supremely to the challenge. With Frankenstein, she succeeded admirably in the task she set for herself: to create a story that, in her own words, ""would speak to the mysterious fears of our nature and awaken thrilling horror — one to make the reader dread to look round, to curdle the blood, and quicken the beatings of the heart."""
109,0345371984,Last Chance to See,Douglas Adams,1992,Ballantine Books,Nature,"The authors provide an account of their journey around the world in search of endangered animals, including the kakapo of New Zealand, white rhinos in Zaire, and the Komodo lizard"
110,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial,Fiction,"Ellen Grier returns with her husband and children to their midwestern Catholic hometown to live with her narrow-minded in-laws, coping with the family's eccentricity and confronting a hidden secret festering in her husband's past. Reissue. (A CBS-TV movie, releasing Spring 2005, starring Mary-Louise Parker) (General Fiction)"
111,1573228737,Affinity,Sarah Waters,2002,Riverhead Books,Fiction,"Visiting a grim Victorian London prison as part of rehabilitative charity work, upper-class suicide survivor Margaret Prior is drawn into the world of enigmatic spiritualist and inmate Selina Dawes and is persuaded to help her escape."
112,0452283914,"The Best Democracy Money Can Buy: The Truth About Corporate Cons, Globalization and High-Finance Fraudsters",Greg Palast,2003,Plume Books,Political Science,"An investigative journalist provides a fascinating exposT of intrigue, financial misdeeds, and other machinations at the highest level of American politics, revealing how the Bush family stole the Florida election, how Enron swindled its way into an energy monopoly, and other provocative reports on the IMF, World Bank, WTO, and more. Reprint."
113,0380728273,Liberty Falling (Anna Pigeon Mysteries (Paperback)),Nevada Barr,2000,Avon,Fiction,"Park ranger Anna Pigeon, in New York to visit her desperately ill sister, becomes drawn into an investigation of a series of strange murders in Statue of Liberty Park"
114,0060188731,Bel Canto,Ann Patchett,2001,HarperCollins Publishers,Fiction,"Somewhere in South America, at the home of the country's vice president, a lavish birthday party is being held in honor of Mr. Hosokawa, a powerful Japanese businessman. Roxanne Coss, opera's most revered soprano, has mesmerized the international guests with her singing. It is a perfect evening—until a band of gun-wielding terrorists breaks in through the air-conditioning vents and takes the entire party hostage. But what begins as a panicked, life-threatening scenario slowly evolves into something quite different, as terrorists and hostages forge unexpected bonds and people from different countries and continents become compatriots. Without the demands of the world to shape their days, life on the inside becomes more beautiful than anything they had known before. At once riveting and impassioned, the narrative becomes a moving exploration of how people communicate when music is the only common language. Friendship, compassion, and the chance for great love lead the characters to forget the real danger that has been set in motion and cannot be stopped. Ann Patchett has written a novel that is as lyrical and profound as it is unforgettable. Bel Canto engenders in the reader the very passion for art and the language of music that its characters discover. As a reader, you find yourself fervently wanting this captivity to continue forever, even though you know that real life waits on the other side of the garden wall. A virtuoso performance by one of our best and most important writers, Bel Canto is a novel to be cherished."
